TEST_ARTICLE	DOSE	DURATION	STUDY_ID	DOSE_LEVEL
Dideoxycytidine	47	3	CVD040503	Low
Dideoxycytidine	1200	3	CVD040503	High
Irbesartan	125	3	CVD040503	Middle
Irbesartan	1200	3	CVD040503	High
Ifosfamide	17	3	I011106	Middle
Ifosfamide	143	3	I011106	High
N,N-Dimethylformamide	140	3	I011106	Low
N,N-Dimethylformamide	1400	3	I011106	High
Enrofloxacin	28	3	R020423	Low
Enrofloxacin	2000	3	R020423	High
Lomefloxacin	10	3	R020423	Low
Lomefloxacin	2000	3	R020423	High
Metoclopramide	30	3	R020423	Middle
Metoclopramide	185	3	R020423	High
Tosufloxacin	50	3	R020423	Low
Tosufloxacin	2000	3	R020423	High
Bisacodyl	30	3	R020514	Low
Bisacodyl	1750	3	R020514	High
Cyproheptadine	3	3	R020514	Low
Cyproheptadine	37	3	R020514	High
Ivermectin	0.77	3	R020514	Middle
Ivermectin	7.5	3	R020514	High
Piroxicam	1	3	R020514	Low
Piroxicam	14	3	R020514	High
Amiloride	1	3	R020716	Low
Amiloride	22	3	R020716	High
Atenolol	50	3	R020716	Low
Atenolol	1000	3	R020716	High
Chlorzoxazone	76	3	R020716	Low
Chlorzoxazone	763	3	R020716	High
Clozapine	20	3	R020716	Middle
Clozapine	95	3	R020716	High
Doxepin	20	3	R020716	Middle
Doxepin	147	3	R020716	High
Aminosalicylic acid	45	3	R020730	Low
Aminosalicylic acid	2337	3	R020730	High
Cyclandelate	120	3	R020730	Low
Cyclandelate	1500	3	R020730	High
Dipyridamole	10	3	R020730	Low
Dipyridamole	750	3	R020730	High
Fluoxetine	10	3	R020730	Middle
Fluoxetine	52	3	R020730	High
Glycine	750	3	R020730	Middle
Glycine	2000	3	R020730	High
Guanethidine	25	3	R020730	Middle
Guanethidine	132	3	R020730	High
Cromolyn	10	3	R020813	Low
Cromolyn	1500	3	R020813	High
Procainamide	114	3	R020813	Middle
Procainamide	755	3	R020813	High
Alendronic acid	3	3	R020910	Low
Alendronic acid	138	3	R020910	High
Anisindione	7.5	3	R020910	Low
Anisindione	75	3	R020910	High
Ethacrynic acid	25	3	R020910	Middle
Ethacrynic acid	125	3	R020910	High
Primaquine	1.1	3	R020910	Low
Primaquine	45	3	R020910	High
Risperidone	2.4	3	R020910	Middle
Risperidone	22	3	R020910	High
Colistin	24	3	R020924	Middle
Colistin	121	3	R020924	High
Dexfenfluramine	8	3	R020924	Middle
Dexfenfluramine	29	3	R020924	High
Dicyclomine	4	3	R020924	Low
Dicyclomine	645	3	R020924	High
Pyrogallol	100	3	R020924	Low
Pyrogallol	1000	3	R020924	High
Sulfadiazine	45	3	R020924	Low
Sulfadiazine	1170	3	R020924	High
Cortisone	25	3	R021008	Middle
Cortisone	206	3	R021008	High
Dexibuprofen	60	3	R021008	Middle
Dexibuprofen	239	3	R021008	High
Droperidol	9.4	3	R021008	Low
Droperidol	94	3	R021008	High
Etodolac	8	3	R021008	Middle
Etodolac	24	3	R021008	High
Nimetazepam	5	3	R021008	Low
Nimetazepam	122	3	R021008	High
Roxithromycin	32	3	R021008	Middle
Roxithromycin	312	3	R021008	High
Thalidomide	3	3	R021008	Low
Thalidomide	113	3	R021008	High
Aconitine	0.09	3	R021022	Low
Aconitine	0.9	3	R021022	High
Cilostazol	300	3	R021022	Middle
Cilostazol	1500	3	R021022	High
Ethisterone	150	3	R021022	Low
Ethisterone	1500	3	R021022	High
Noscapine	12.5	3	R021022	Low
Noscapine	570	3	R021022	High
Oxymetholone	117	3	R021022	Low
Oxymetholone	1170	3	R021022	High
Phenindione	4.1	3	R021022	Low
Phenindione	41	3	R021022	High
Valdecoxib	21	3	R021022	Low
Valdecoxib	404	3	R021022	High
3-Methylcholanthrene	12.5	28	R030409	Low
alpha-Naphthoflavone	80	28	R030409	High
beta-Naphthoflavone	80	28	R030409	Low
2,3,7,8-Tetrachlorodibenzo-p-dioxin	7e-04	28	R030409	Middle
Amikacin	160	14	R030501	High
Amikacin	160	28	R030501	High
Cadmium chloride	2	14	R030501	Low
Cadmium chloride	2	28	R030501	Low
Cobalt (II) chloride	10	14	R030501	High
Cobalt (II) chloride	10	28	R030501	High
Gold sodium thiomalate	8	28	R030501	High
Lead (II) acetate	2	28	R030501	Low
Netilmicin	40	28	R030501	Middle
Tobramycin	40	28	R030501	High
3-Methylcholanthrene	30	3	R030916	Middle
3-Methylcholanthrene	300	3	R030916	High
beta-Naphthoflavone	150	3	R030916	Middle
beta-Naphthoflavone	1500	3	R030916	High
Benoxaprofen	20	3	R031014	Middle
Benoxaprofen	89	3	R031014	High
Ethylestrenol	100	3	R031014	Middle
Ethylestrenol	390	3	R031014	High
Acetone	4000	14	R040722	High
Glycidol	210	14	R040722	High
Sodium selenate	1.6	14	R040722	High
3-Chloroaniline	200	3	R040818	High
Chlorpyrifos	82	3	R040818	High
Nitrobenzene	225	3	R040818	High
Furan	24	3	R040825	High
Furan	24	14	R040825	High
Erlotinib	58	3	R050419	Middle
Erlotinib	116	3	R050419	High
Gefitinib	58	3	R050419	Middle
Gefitinib	116	3	R050419	High
MLN-518	70	3	R050419	Middle
MLN-518	212	3	R050419	High
Pravastatin	12.5	14	R060209	Low
Pravastatin	1200	14	R060209	High
Idarubicin	0.625	14	R060209	Middle
Idarubicin	1.25	14	R060209	High
Allylamine	40	3	R070319	Middle
Allylamine	40	14	R070319	Middle
Dobutamine	15	3	R070319	Middle
Dobutamine	15	14	R070319	Middle
1,4-Dichlorobenzene	900	3	R070319	High
1,4-Dichlorobenzene	900	14	R070319	High
Isoprenaline	2	3	R070319	Middle
Isoprenaline	2	14	R070319	Middle
Angiotensin II human	0.5	3	R070319	Middle
Angiotensin II human	0.5	14	R070319	Middle
1-Naphthyl isothiocyanate	30	3	S010924	Middle
1-Naphthyl isothiocyanate	30	7	S010924	Middle
1-Naphthyl isothiocyanate	60	3	S010924	High
1-Naphthyl isothiocyanate	60	7	S010924	High
